disease_presentation_id,disease_id,presentation_id,source_review_status,medical_review_status,relationship_role,typicality,frequency_category,acuity,age_context,pregnancy_context,clinical_setting,key_positive_clues,key_negative_clues,cannot_miss,step_levels,subject_exams,source_status
DPR-0029,DIS-G-0029,PRS-029,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0030,DIS-G-0030,PRS-030,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0031,DIS-G-0031,PRS-031,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0032,DIS-G-0032,PRS-032,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0033,DIS-G-0033,PRS-033,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0034,DIS-G-0034,PRS-034,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0035,DIS-G-0035,PRS-035,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0036,DIS-G-0036,PRS-036,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0037,DIS-G-0037,PRS-037,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0048,DIS-E-0048,PRS-008,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0049,DIS-E-0049,PRS-009,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0050,DIS-E-0050,PRS-010,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0051,DIS-E-0051,PRS-011,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0052,DIS-E-0052,PRS-012,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0053,DIS-E-0053,PRS-013,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0054,DIS-E-0054,PRS-014,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0055,DIS-E-0055,PRS-015,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0057,DIS-E-0057,PRS-017,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0070,DIS-ID-0070,PRS-030,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0071,DIS-ID-0071,PRS-031,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0072,DIS-ID-0072,PRS-032,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0073,DIS-ID-0073,PRS-033,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0074,DIS-ID-0074,PRS-034,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0075,DIS-ID-0075,PRS-035,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0076,DIS-ID-0076,PRS-036,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0077,DIS-ID-0077,PRS-037,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0078,DIS-ID-0078,PRS-038,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0079,DIS-ID-0079,PRS-039,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0080,DIS-HO-0080,PRS-040,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0081,DIS-HO-0081,PRS-001,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0082,DIS-HO-0082,PRS-002,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0083,DIS-HO-0083,PRS-003,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0084,DIS-HO-0084,PRS-004,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0085,DIS-HO-0085,PRS-005,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0086,DIS-HO-0086,PRS-006,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0087,DIS-HO-0087,PRS-007,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0088,DIS-HO-0088,PRS-008,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0089,DIS-HO-0089,PRS-009,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0098,DIS-P-0098,PRS-018,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0099,DIS-P-0099,PRS-019,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0100,DIS-P-0100,PRS-020,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0101,DIS-P-0101,PRS-021,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0102,DIS-P-0102,PRS-022,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0103,DIS-P-0103,PRS-023,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0104,DIS-P-0104,PRS-024,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0105,DIS-P-0105,PRS-025,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0106,DIS-P-0106,PRS-026,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0107,DIS-P-0107,PRS-027,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0108,DIS-P-0108,PRS-028,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0109,DIS-P-0109,PRS-029,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0110,DIS-P-0110,PRS-030,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0111,DIS-P-0111,PRS-031,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0112,DIS-P-0112,PRS-032,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0114,DIS-OG-0114,PRS-034,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0115,DIS-OG-0115,PRS-035,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0116,DIS-OG-0116,PRS-036,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0117,DIS-OG-0117,PRS-037,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0118,DIS-OG-0118,PRS-038,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DPR-0119,DIS-OG-0119,PRS-039,draft_ai_generated,draft_ai_generated,common,typical,common,variable,all ages as clinically relevant,not specific,"outpatient, emergency, or inpatient according to acuity",Use the linked disease illness script and localizing findings.,Interpret key absent findings in clinical context.,false,Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
