disease_treatment_id,disease_id,treatment_id,role,clinical_context,sequence_order,first_line,definitive,rescue_or_escalation,unstable_patient_only,contraindication_notes,board_exam_pearl,source_review_status,medical_review_status,notes,patient_stability,rescue,refractory,contraindicated,avoid,age_context,pregnancy_context,renal_context,hepatic_context,prerequisite_actions,monitoring,step_levels,subject_exams,source_status
DTR-0018-1,DIS-P-0018,TRT-019,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0018-2,DIS-P-0018,TRT-020,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0019-0,DIS-P-0019,TRT-019,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0019-1,DIS-P-0019,TRT-020,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0019-2,DIS-P-0019,TRT-021,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0020-0,DIS-P-0020,TRT-020,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0020-1,DIS-P-0020,TRT-021,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0020-2,DIS-P-0020,TRT-022,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0021-0,DIS-P-0021,TRT-021,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0021-1,DIS-P-0021,TRT-022,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0021-2,DIS-P-0021,TRT-023,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0022-0,DIS-P-0022,TRT-022,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0022-1,DIS-P-0022,TRT-023,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0022-2,DIS-P-0022,TRT-024,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0024-0,DIS-P-0024,TRT-024,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0024-1,DIS-P-0024,TRT-025,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0024-2,DIS-P-0024,TRT-026,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0025-0,DIS-P-0025,TRT-025,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0025-1,DIS-P-0025,TRT-026,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0025-2,DIS-P-0025,TRT-027,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0026-0,DIS-G-0026,TRT-026,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0026-1,DIS-G-0026,TRT-027,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0026-2,DIS-G-0026,TRT-028,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0027-0,DIS-G-0027,TRT-027,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0027-1,DIS-G-0027,TRT-028,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0027-2,DIS-G-0027,TRT-029,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0028-0,DIS-G-0028,TRT-028,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0028-1,DIS-G-0028,TRT-029,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0028-2,DIS-G-0028,TRT-030,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0029-0,DIS-G-0029,TRT-029,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0029-1,DIS-G-0029,TRT-030,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0029-2,DIS-G-0029,TRT-031,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0030-0,DIS-G-0030,TRT-030,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0030-1,DIS-G-0030,TRT-031,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0030-2,DIS-G-0030,TRT-032,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0031-0,DIS-G-0031,TRT-031,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0031-1,DIS-G-0031,TRT-032,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0031-2,DIS-G-0031,TRT-033,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0032-0,DIS-G-0032,TRT-032,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0032-1,DIS-G-0032,TRT-033,adjunctive,Draft context pending review.,2,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0032-2,DIS-G-0032,TRT-034,adjunctive,Draft context pending review.,3,false,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
DTR-0033-0,DIS-G-0033,TRT-033,first_line,Draft context pending review.,1,true,false,false,false,Review required.,Draft pending review.,draft_ai_generated,draft_ai_generated,,stable or unstable according to linked clinical context,false,false,false,false,all ages as clinically relevant,assess pregnancy context before selection,assess renal function where relevant,assess hepatic function where relevant,Stabilize immediate threats and establish diagnosis where appropriate.,"Reassess response, adverse effects, and disposition.",Step 1; Step 2 CK; Step 3,Internal Medicine; Surgery; Family Medicine; Pediatrics; Neurology; Emergency Medicine,partially_source_supported
